usec,power,ticks
0,20,0
10000,20,0
20000,20,4
30005,20,2
40006,20,2
50006,20,4
60007,20,4
70011,20,5
80016,20,6
90016,20,5
100016,20,6
110016,20,6
120041,20,6
130041,20,7
140041,20,6
150041,20,7
160042,20,7
170045,20,7
180045,20,6
190046,20,7
200047,20,7
210047,20,7
220047,20,7
230047,20,7
240047,20,7
250047,20,7
260047,20,7
270047,20,7
280047,20,7
290047,20,7
300047,20,7
310048,20,7
320048,20,7
330048,20,7
340049,20,7
350050,20,7
360057,20,7
370057,20,7
380057,20,7
390060,20,7
400061,20,7
410061,20,8
420110,20,7
430115,20,7
440145,20,7
450146,20,7
460147,20,7
470148,20,7
480148,20,7
490148,20,7
500149,20,7
510149,20,7
520150,20,7
530150,20,7
540157,20,7
550157,20,7
560160,20,7
570161,20,7
580161,20,7
590162,20,7
600162,20,7
610163,20,7
620163,20,7
630163,20,7
640163,20,8
650163,20,7
660163,20,7
670163,20,7
680163,20,7
690164,20,7
700164,20,7
710164,20,7
720164,20,7
730164,20,8
740164,20,6
750164,20,8
760164,20,6
770165,20,8
780189,20,7
790190,20,7
800190,20,7
810190,20,7
820204,20,7
830204,20,7
840206,20,7
850206,20,7
860206,20,6
870209,20,8
880216,20,6
890216,20,7
900245,20,7
910245,20,7
920245,20,7
930245,20,7
940245,20,7
950246,20,7
960247,20,7
970248,20,7
980248,20,7
990248,20,8
1000249,20,7
1010250,20,7
1020251,20,7
1030257,20,7
1040260,20,7
1050260,20,8
1060261,20,7
1070261,20,7
1080261,20,7
1090261,20,6
1100262,20,8
1110263,20,6
1120263,20,7
1130264,20,7
1140264,20,8
1150265,20,6
1160289,20,8
1170302,20,7
1180303,20,7
1190305,20,7
1200305,20,7
1210305,20,7
1220305,20,7
1230306,20,7
1240307,20,7
1250307,20,7
1260307,20,7
1270307,20,8
1280307,20,7
1290308,20,7
1300309,20,7
1310310,20,7
1320310,20,7
1330310,20,7
1340310,20,8
1350311,20,6
1360342,20,8
1370343,20,6
1380343,20,8
1390343,20,7
1400343,20,7
1410344,20,7
1420344,20,7
1430345,20,7
1440345,20,7
1450346,20,7
1460346,20,7
1470346,20,7
1480347,20,7
1490347,20,7
1500347,20,7
1510348,20,8
1520348,20,7
1530349,20,7
1540349,20,7
1550349,20,7
1560350,20,7
1570350,20,7
1580351,20,7
1590351,20,7
1600351,20,7
1610352,20,7
1620358,20,7
1630360,20,7
1640361,20,7
1650361,20,7
1660362,20,7
1670362,20,7
1680362,20,7
1690362,20,7
1700362,20,7
1710363,20,7
1720363,20,8
1730363,20,7
1740364,20,7
1750364,20,7
1760364,20,7
1770364,20,7
1780364,20,7
1790364,20,7
1800364,20,7
1810365,20,7
1820365,20,7
1830400,20,7
1840400,20,7
1850407,20,8
1860408,20,7
1870408,20,7
1880415,20,7
1890444,20,7
1900446,20,7
1910446,20,7
1920447,20,7
1930447,20,7
1940447,20,8
1950454,20,7
1960460,20,7
1970461,20,7
1980462,20,7
1990463,20,8
2000463,50,6
2010463,50,10
2020463,50,12
2030464,50,14
2040493,50,14
2050500,50,15
2060506,50,16
2070507,50,18
2080507,50,18
2090508,50,19
2100509,50,20
2110509,50,20
2120512,50,20
2130512,50,20
2140515,50,21
2150517,50,22
2160542,50,21
2170542,50,22
2180542,50,21
2190545,50,22
2200546,50,22
2210547,50,22
2220651,50,22
2230657,50,23
2240658,50,22
2250662,50,23
2260662,50,23
2270663,50,22
2280663,50,23
2290663,50,22
2300664,50,23
2310664,50,23
2320665,50,23
2330665,50,23
2340665,50,23
2350665,50,23
2360665,50,23
2370665,50,23
2380665,50,23
2390665,50,22
2400665,50,23
2410689,50,23
2420690,50,23
2430690,50,23
2440691,50,22
2450692,50,23
2460699,50,23
2470706,50,23
2480706,50,23
2490710,50,23
2500711,50,23
2510716,50,23
2520757,50,23
2530757,50,22
2540809,50,24
2550809,50,23
2560810,50,23
2570810,50,23
2580811,50,23
2590862,50,23
2600862,50,23
2610863,50,22
2620864,50,23
2630864,50,23
2640865,50,22
2650865,50,23
2660865,50,23
2670866,50,23
2680866,50,23
2690887,50,23
2700889,50,23
2710890,50,23
2720894,50,23
2730899,50,23
2740905,50,23
2750905,50,23
2760905,50,23
2770906,50,23
2780907,50,23
2790908,50,23
2800909,50,23
2810910,50,23
2820915,50,22
2830915,50,23
2840945,50,22
2850953,50,23
2860958,50,23
2870961,50,22
2880961,50,23
2890962,50,23
2900962,50,23
2910963,50,23
2920963,50,23
2930963,50,23
2940963,50,23
2950963,50,23
2960963,50,23
2970963,50,23
2980963,50,23
2990963,50,23
3000963,50,23
3010963,50,23
3020963,50,23
3030963,50,23
3040967,50,23
3050989,50,22
3060990,50,23
3070991,50,22
3080992,50,23
3090992,50,23
3100992,50,23
3110992,50,23
3120992,50,23
3130992,50,23
3140993,50,23
3150993,50,23
3160993,50,23
3170993,50,23
3180993,50,23
3190993,50,23
3200993,50,23
3210993,50,23
3220993,50,23
3230999,50,23
3241006,50,23
3251006,50,23
3261006,50,22
3271006,50,23
3281007,50,22
3291007,50,23
3301007,50,23
3311007,50,23
3321008,50,23
3331015,50,23
3341015,50,23
3351016,50,23
3361044,50,23
3371044,50,23
3381044,50,23
3391045,50,23
3401045,50,22
3411048,50,24
3421049,50,22
3431057,50,23
3441057,50,23
3451064,50,23
3461064,50,23
3471064,50,22
3481086,50,24
3491090,50,22
3501090,50,23
3511090,50,23
3521090,50,23
3531091,50,23
3541091,50,23
3551091,50,23
3561091,50,23
3571092,50,23
3581092,50,23
3591092,50,23
3601099,50,23
3611105,50,23
3621105,50,23
3631106,50,23
3641107,50,23
3651107,50,22
3661107,50,23
3671107,50,23
3681107,50,23
3691107,50,22
3701108,50,24
3711115,50,23
3721149,50,23
3731149,50,22
3741200,50,24
3751200,50,23
3761201,50,23
3771203,50,23
3781204,50,23
3791212,50,23
3801212,50,23
3811249,50,23
3821249,50,23
3831249,50,22
3841249,50,23
3851249,50,23
3861250,50,22
3871250,50,23
3881251,50,23
3891258,50,23
3901259,50,23
3911259,50,22
3921352,50,24
