usec,speed,distance
0,0.250000,8.364178
10000,0.250000,7.322484
20000,0.250000,7.248844
30001,0.250000,7.104232
40001,0.250000,7.033630
50002,0.250000,7.172982
60002,0.250000,7.449819
70002,0.250000,7.859421
80003,0.250000,8.331457
90004,0.250000,8.797603
100004,0.250000,9.322566
110010,0.250000,9.839672
120012,0.250000,10.350830
130016,0.250000,10.984789
140016,0.250000,11.675245
150017,0.250000,12.295355
160017,0.250000,13.093233
170017,0.250000,13.882797
180017,0.250000,14.663998
190018,0.250000,15.617197
200018,0.250000,16.443970
210018,0.250000,17.380499
220056,0.250000,18.424654
230059,0.250000,19.464073
240059,0.250000,20.439018
250064,0.250000,21.521120
260064,0.250000,22.541492
270065,0.250000,23.723543
280105,0.250000,24.843969
290111,0.250000,25.959049
300111,0.250000,27.121439
310138,0.250000,28.281008
320139,0.250000,29.437752
330142,0.250000,30.643656
340151,0.250000,31.843622
350151,0.250000,33.095024
360159,0.250000,34.343315
370160,0.250000,35.588493
380161,0.250000,36.830551
390162,0.250000,38.069489
400170,0.250000,39.412766
410197,0.250000,40.645454
420198,0.250000,41.824547
430199,0.250000,43.161022
440200,0.250000,44.444038
450201,0.250000,45.727055
460202,0.250000,47.003532
470203,0.250000,48.280010
480203,0.250000,49.500160
490214,0.250000,50.773361
500214,0.250000,52.103024
510215,0.250000,53.323174
520220,0.250000,54.646011
530242,0.250000,55.915936
540242,0.250000,57.185860
550242,0.250000,58.455784
560243,0.250000,59.775200
570243,0.250000,61.098038
580244,0.250000,62.367962
590244,0.250000,63.694214
600245,0.250000,64.967415
610245,0.250000,66.346718
620245,0.250000,67.669556
630245,0.250000,68.995811
640245,0.250000,70.269012
650245,0.250000,71.542213
660246,0.250000,72.815414
670246,0.250000,74.088615
680247,0.250000,75.467918
690253,0.250000,76.790756
700254,0.250000,78.117012
710259,0.250000,79.439850
720260,0.250000,80.709770
730260,0.250000,82.085518
740260,0.250000,83.411774
750261,0.250000,84.684975
760262,0.250000,86.007812
770263,0.250000,87.334068
780270,0.250000,88.713371
790270,0.250000,89.986572
800298,0.250000,91.203583
810299,0.250000,92.529839
820300,0.250000,93.803040
830300,0.250000,95.076241
840300,0.250000,96.455544
850301,0.250000,97.728745
860302,0.250000,98.952034
870303,0.250000,100.278290
880304,0.250000,101.657593
890310,0.250000,102.930794
900311,0.250000,104.203995
910311,0.250000,105.533661
920311,0.250000,106.810143
930320,0.250000,108.185898
940343,0.250000,109.455826
950344,0.250000,110.782082
960344,0.250000,112.104919
970344,0.250000,113.424339
980344,0.250000,114.697540
990344,0.250000,116.076843
1000345,0.250000,117.350044
1010345,0.250000,118.623245
1020345,0.250000,120.002548
1030345,0.250000,121.325386
1040345,0.250000,122.651642
1050346,0.250000,123.924843
1060346,0.250000,125.198044
1070346,0.250000,126.527710
1080353,0.250000,127.853966
1090357,-0.250000,129.127167
1100358,-0.250000,130.506470
1110359,-0.250000,131.567474
1120360,-0.250000,132.152527
1130361,-0.250000,132.525787
1140361,-0.250000,132.952377
1150361,-0.250000,133.165665
1160361,-0.250000,133.218857
1170361,-0.250000,133.272186
1180367,-0.250000,133.272186
1190397,-0.250000,133.272186
1200397,-0.250000,133.272186
1210398,-0.250000,133.272186
1220399,-0.250000,133.272186
1230399,-0.250000,133.272186
1240399,-0.250000,133.111801
1250399,-0.250000,132.951019
1260400,-0.250000,132.736633
1270400,-0.250000,132.360519
1280401,-0.250000,131.983444
1290402,-0.250000,131.552505
1300403,-0.250000,130.958481
1310403,-0.250000,130.415741
1320410,-0.250000,129.817245
1330411,-0.250000,129.161102
1340414,-0.250000,128.501724
1350415,-0.250000,128.005981
1360416,-0.250000,127.511444
1370417,-0.250000,126.742165
1380418,-0.250000,125.915916
1390448,-0.250000,125.091690
1400454,-0.250000,124.102615
1410459,-0.250000,123.113541
1420467,-0.250000,122.014565
1430470,-0.250000,120.915588
1440498,-0.250000,119.758842
1450501,-0.250000,118.547012
1460501,-0.250000,117.393089
1470501,-0.250000,116.126175
1480501,-0.250000,114.914345
1490502,-0.250000,113.650528
1500502,-0.250000,112.383614
1510514,-0.250000,111.113609
1520514,-0.250000,109.736526
1530514,-0.250000,108.414528
1540515,-0.250000,107.150711
1550515,-0.250000,105.941841
1560515,-0.250000,104.513176
1570545,-0.250000,103.304306
1580545,-0.250000,101.985535
1590546,-0.250000,100.608452
1600548,-0.250000,99.234734
1610548,-0.250000,97.915962
1620549,-0.250000,96.597191
1630553,-0.250000,95.278419
1640559,-0.250000,93.959648
1650559,-0.250000,92.589302
1660566,-0.250000,91.273766
1670597,-0.250000,89.958229
1680597,-0.250000,88.584511
