usec,velocity,heading
0,0.250000,0.000000
10007,0.250000,0.000000
20007,0.250000,0.000000
30015,0.250000,0.007906
40015,0.250000,0.018975
50038,0.250000,0.031625
60040,0.250000,0.044275
70040,0.250000,0.056925
80040,0.250000,0.074319
90041,0.250000,0.091713
100041,0.250000,0.113850
110041,0.250000,0.137569
120042,0.250000,0.159706
130043,0.250000,0.188169
140091,0.250000,0.213469
150093,0.250000,0.240350
160094,0.250000,0.270394
170095,0.250000,0.300438
180095,0.250000,0.330482
190095,0.250000,0.363688
200095,0.250000,0.395313
210107,0.250000,0.426938
220109,0.250000,0.460144
230113,0.250000,0.493350
240113,0.250000,0.529719
250113,0.250000,0.561344
260135,0.250000,0.597713
270140,0.250000,0.634082
280141,0.250000,0.668869
290142,0.250000,0.706819
300142,0.250000,0.741607
310142,0.250000,0.776394
320147,0.250000,0.815926
330154,-0.250000,0.852295
340156,-0.250000,0.890245
350194,-0.250000,0.918707
360194,-0.250000,0.934520
370194,-0.250000,0.947170
380197,-0.250000,0.956657
390197,-0.250000,0.962982
400197,-0.250000,0.966145
410244,-0.250000,0.967726
420245,-0.250000,0.967726
430249,-0.250000,0.967726
440250,-0.250000,0.966145
450250,-0.250000,0.964563
460250,-0.250000,0.959820
470261,-0.250000,0.953495
480261,-0.250000,0.947170
490261,-0.250000,0.939263
500299,-0.250000,0.926613
510300,-0.250000,0.912382
520307,-0.250000,0.899732
530340,-0.250000,0.882338
540341,-0.250000,0.864945
550342,-0.250000,0.842807
560354,-0.250000,0.822251
570356,-0.250000,0.800113
580357,-0.250000,0.774813
590394,-0.250000,0.749513
600395,-0.250000,0.724213
610395,-0.250000,0.695751
620404,-0.250000,0.667288
630408,-0.250000,0.637244
640410,-0.250000,0.605619
650443,-0.250000,0.577157
660443,-0.250000,0.543950
670443,-0.250000,0.512325
680451,-0.250000,0.479119
690451,-0.250000,0.444332
700451,-0.250000,0.412707
710497,-0.250000,0.376338
720497,-0.250000,0.341550
730506,-0.250000,0.308344
740535,-0.250000,0.271975
750536,-0.250000,0.235606
760536,-0.250000,0.200819
770552,-0.250000,0.162869
780556,-0.250000,0.126500
790557,-0.250000,0.091713
800564,-0.250000,0.053762
810594,-0.250000,0.017394
820595,-0.250000,-0.020556
830598,-0.250000,-0.056925
840599,-0.250000,-0.093294
850599,-0.250000,-0.131244
860642,-0.250000,-0.169194
870642,-0.250000,-0.207144
880643,-0.250000,-0.245094
890645,-0.250000,-0.283044
900645,-0.250000,-0.320994
910645,-0.250000,-0.358944
920698,-0.250000,-0.396894
930698,-0.250000,-0.436425
940698,-0.250000,-0.474376
950710,-0.250000,-0.512326
960711,-0.250000,-0.551857
970712,-0.250000,-0.589807
980760,-0.250000,-0.627757
990760,-0.250000,-0.668869
1000761,-0.250000,-0.706819
1010761,-0.250000,-0.746351
1020765,-0.250000,-0.784301
1030793,-0.250000,-0.825413
1040797,0.250000,-0.863363
1050797,0.250000,-0.902895
1060797,0.250000,-0.934520
1070845,0.250000,-0.950332
1080846,0.250000,-0.964563
1090853,0.250000,-0.975632
1100854,0.250000,-0.981957
1110856,0.250000,-0.986701
1120857,0.250000,-0.986701
1130895,0.250000,-0.986701
1140896,0.250000,-0.983539
1150896,0.250000,-0.980376
1160897,0.250000,-0.975632
1170898,0.250000,-0.970888
1180899,0.250000,-0.966145
1190942,0.250000,-0.956657
1200943,0.250000,-0.944007
1210949,0.250000,-0.929776
1220949,0.250000,-0.913963
1230950,0.250000,-0.896570
1240954,0.250000,-0.876013
1250997,0.250000,-0.858620
1260997,0.250000,-0.838063
1270997,0.250000,-0.815926
1281008,0.250000,-0.790626
1291015,0.250000,-0.765326
1301016,0.250000,-0.738445
1311039,0.250000,-0.708401
1321039,0.250000,-0.679938
1331039,0.250000,-0.653057
1341051,0.250000,-0.621432
1351063,0.250000,-0.591388
1361064,0.250000,-0.556601
1371065,0.250000,-0.524976
1381094,0.250000,-0.491769
1391095,0.250000,-0.460144
1401104,0.250000,-0.426938
1411107,0.250000,-0.388988
1421107,0.250000,-0.355782
1431107,0.250000,-0.320994
1441109,0.250000,-0.287788
1451109,0.250000,-0.249838
